fireplaces,garage_spaces,category_code,market_value,bathrooms,bedrooms,stories,sale_date,sale_price,total_area,total_livable_area,latitude,longitude
0.0,0.0,1.0,60000.0,1.0,3.0,2.0,2005-10-28,60700.0,1500.0,1350.0,40.0144257490295,-75.0934255945671
0.0,0.0,1.0,60000.0,1.0,3.0,2.0,2017-05-08,25500.0,1516.0,1350.0,40.014310274034,-75.0933665557593
0.0,0.0,1.0,62000.0,1.0,3.0,2.0,2007-10-04,47500.0,2000.0,1350.0,40.0142656255365,-75.09334329151179
0.0,0.0,1.0,62700.0,1.0,3.0,0.0,2003-05-20,60000.0,1550.0,1488.0,40.013794414007705,-75.09257444726171
0.0,0.0,1.0,75900.0,1.0,4.0,0.0,2015-11-13,22000.0,2239.0,1620.0,40.01095918077571,-75.093408295111
0.0,0.0,1.0,51900.0,1.0,3.0,0.0,2006-03-17,52000.0,1460.0,1034.0,40.0115090006301,-75.0933223752949
0.0,0.0,1.0,50700.0,1.0,3.0,0.0,2009-07-06,35000.0,1359.0,982.0,40.0115483819445,-75.0933062817279
0.0,0.0,1.0,44600.0,1.0,3.0,0.0,2019-05-08,25000.0,1447.0,781.0,40.0116980503371,-75.09320624790159
0.0,0.0,1.0,83200.0,1.0,3.0,2.0,2015-05-27,30000.0,990.0,1140.0,39.9527335194499,-75.22686892849391
0.0,0.0,1.0,125500.0,1.0,3.0,2.0,2017-12-19,60000.0,967.5,1140.0,39.9524804177223,-75.2271903272954
0.0,0.0,1.0,83000.0,1.0,3.0,2.0,2014-12-19,49000.0,967.5,1140.0,39.9525130416021,-75.22745429471509
0.0,0.0,1.0,23600.0,1.0,3.0,2.0,2011-12-13,933000.0,990.0,1140.0,39.952805593239496,-75.2274475545735
0.0,0.0,1.0,83000.0,1.0,3.0,2.0,2007-03-05,56000.0,967.5,1140.0,39.9525390960805,-75.22766414756501
0.0,0.0,1.0,83000.0,1.0,3.0,2.0,2005-12-28,70000.0,967.5,1140.0,39.9525462947486,-75.2277189215336
0.0,0.0,1.0,83000.0,1.0,3.0,2.0,2018-07-13,60000.0,967.5,1140.0,39.952552973092295,-75.22777277474279
0.0,0.0,1.0,83000.0,1.0,3.0,2.0,2018-07-23,26300.0,967.5,1140.0,39.9525596597486,-75.2278252040626
0.0,0.0,1.0,83000.0,1.0,3.0,2.0,2019-07-09,70000.0,967.5,1140.0,39.9525661498377,-75.2278785702366
0.0,0.0,1.0,83200.0,1.0,3.0,2.0,2011-06-17,22636.0,990.0,1140.0,39.952852061986704,-75.2278195375862
0.0,0.0,1.0,83000.0,1.0,3.0,2.0,2017-07-21,79000.0,967.5,1140.0,39.952592424596894,-75.2280927410053
0.0,0.0,1.0,83200.0,1.0,3.0,2.0,2006-04-05,34000.0,990.0,1140.0,39.9528785407573,-75.22803269718601
0.0,0.0,1.0,83200.0,1.0,3.0,2.0,2019-03-18,240000.0,990.0,1140.0,39.9528912731318,-75.2281372254396
0.0,0.0,1.0,23600.0,1.0,3.0,2.0,2003-06-19,22000.0,967.5,1200.0,39.9526178604618,-75.2283054925404
0.0,0.0,1.0,50800.0,1.0,3.0,2.0,2007-01-12,33500.0,900.0,978.0,39.952910509862704,-75.2285693518656
1.0,0.0,1.0,118300.0,1.0,4.0,0.0,2005-01-18,75000.0,2746.91,1520.0,40.021375877408,-75.0936540019937
0.0,1.0,1.0,556800.0,1.0,3.0,3.0,2005-01-03,363000.0,765.0,1445.0,39.9436894349826,-75.1553945475067
0.0,1.0,1.0,556800.0,1.0,3.0,3.0,2007-05-11,527000.0,765.0,1445.0,39.9437349271425,-75.1557485006761
0.0,0.0,1.0,296100.0,1.0,2.0,0.0,2002-08-22,150000.0,352.0,720.0,39.9446742404336,-75.16363323172091
0.0,0.0,1.0,394300.0,1.0,2.0,2.0,2018-04-19,347000.0,520.0,800.0,39.9453593868092,-75.1691414330783
0.0,0.0,1.0,324600.0,1.0,2.0,2.0,1985-03-08,30000.0,400.0,640.0,39.9455296244753,-75.1693366542731
0.0,0.0,1.0,418500.0,1.0,2.0,3.0,2008-02-19,274000.0,520.0,720.0,39.945553887975294,-75.1694459897752
0.0,0.0,1.0,439800.0,1.0,2.0,3.0,2006-02-22,309000.0,520.0,720.0,39.9455608069641,-75.1695027044975
